Chunk	Chunk Root	Chunk Dep	Chunk Head
the position	position	pobj	to
this territory	territory	nsubj	forming
it	it	nsubj	were
the keystone	keystone	attr	were
three great faunal arches	arches	pobj	of
time	time	pobj	in
the birds	birds	nsubj	approached
their respective regions	regions	pobj	from
a slight change	change	nsubj	precipitate
physical or climatic conditions	conditions	pobj	in
more intimate relations	relations	dobj	precipitate
Precisely such a state	state	nsubj	happened
affairs	affairs	pobj	of
the intermingling	intermingling	nsubj	become
races	races	pobj	of
species	species	conj	races
new territory	territory	pobj	on
a cause	cause	dobj	seeking
I	I	nsubjpass	led
the belief	belief	pobj	to
it	it	nsubj	is
the introduction	introduction	pobj	to
cattle	cattle	pobj	of
we	we	nsubj	remember
the growth	growth	nsubj	is
dense mesquite chaparral	chaparral	pobj	of
such a marked feature	feature	dobj	forms
the landscape	landscape	pobj	in
southeastern Texas	Texas	pobj	of
the tithe	tithe	pobj	upon
open prairie	prairie	pobj	of
the grazing	grazing	pobj	to
immense herds	herds	pobj	of
cattle	cattle	pobj	of
their search	search	pobj	in
subsistence	subsistence	pobj	for
the prairie fire	fire	dobj	robbed
its fuel	fuel	pobj	of
the same time	time	pobj	at
the seeds	seeds	dobj	distributed
mesquite	mesquite	pobj	of
other arborescent shrubs	shrubs	conj	mesquite
this statement	statement	nsubj	appear
it	it	nsubj	seems
The comparatively sudden conversion	conversion	nsubj	aflbrd
many square miles	miles	pobj	of
debatable ornithological ground	ground	pobj	of
prairie	prairie	pobj	from
brushland	brushland	pobj	to
this manner	manner	pobj	in
just such inducements	inducements	dobj	aflbrd
arboreal birds	birds	pobj	to
the further extension	extension	pobj	in
their winter range	range	pobj	of
the north	north	pobj	from
their summer range	range	conj	range
the south	south	pobj	from
the other hand	hand	pobj	On
the true prairie lands	lands	nsubj	diminish
the more strictly plainhaunting species	species	nsubj	disappear
A comparison	comparison	nsubj	tends
the relative abundance	abundance	pobj	of
the species	species	pobj	of
Beckham	Beckham	pobj	by
Mr. Chapman	Chapman	pobj	by
myself	myself	conj	Chapman
"
Even in 1887 the date"	date	ROOT	date
Beckham's observations	observations	pobj	of
Dr. Havard	Havard	nsubj	reports
the mesquite	mesquite	dobj	reports
Beckham	Beckham	nsubj	characterizes
it	it	dobj	characterizes
a dreary waste	waste	dobj	characterizes
The growth	growth	nsubj	tally
mesquite	mesquite	pobj	of
the surrounding country	country	pobj	in
the faunal changes	changes	pobj	with
it	it	nsubjpass	borne
mind	mind	pobj	in
the overstocking	overstocking	nsubj	aflTect
pasture	pasture	pobj	of
cattle	cattle	pobj	with
the consequent efiect	efiect	conj	overstocking
a previously superabundant pasturage	pasturage	pobj	upon
the country	country	dobj	aflTect
city limits	limits	pobj	from
a comparatively small area	area	pobj	beyond
the city	city	dobj	surrounding
the virgin prairie	prairie	nsubj	retained
its original features	features	dobj	retained
this reason	reason	pobj	For
birds	birds	nsubj	were
drouth	drouth	pobj	because
lack	lack	pobj	for
shelter	shelter	pobj	of
food	food	conj	shelter
arboreal habits	habits	pobj	of
Many insectivorous birds	birds	nsubjpass	found
localities	localities	pobj	in
water	water	nsubj	is
the form	form	pobj	in
dew	dew	pobj	of
the juicy nature	nature	pobj	to
their food	food	pobj	of
they	they	nsubj	enjoy
life	life	dobj	enjoy
the luxury	luxury	pobj	without
a drink	drink	pobj	of
It	It	nsubj	seems
the late increase	increase	nsubj	is
passerine birds	birds	pobj	of
this part	part	pobj	in
Texas	Texas	pobj	of
an excess	excess	pobj	to
rainfall	rainfall	pobj	of
the absence	absence	pobj	to
droughts	droughts	pobj	of
late years	years	pobj	in
the vast extension	extension	pobj	to
treecovered areas	areas	pobj	of
the prairie	prairie	pobj	into
the increase	increase	conj	extension
insect and vegetable food	food	pobj	of
this cause	cause	pobj	from
these conditions	conditions	nsubj	apply
the increase	increase	pobj	to
individuals	individuals	pobj	of
old forms	forms	pobj	among
the additional species	species	pobj	to
the Corpus Christi fauna	fauna	pobj	to
The subjoined list	list	nsubj	includes
all birds	birds	dobj	includes
me	me	pobj	by
those species	species	appos	birds
I	I	nsubj	obtain
specimens	specimens	dobj	obtain
an asterisk	asterisk	pobj	by
I	I	nsubj	wish
my grateful indebtedness	indebtedness	dobj	acknowledge
Mr. Witmer Stone Conservator	Conservator	pobj	to
the Ornithological Section	Section	pobj	of
the Academy	Academy	pobj	of
Natural Sciences	Sciences	pobj	of
Philadelphia	Philadelphia	pobj	of
the collection	collection	pobj	for
my absence	absence	pobj	during
invaluable aid	aid	pobj	for
the identification	identification	pobj	in
the material	material	pobj	of
my notes	notes	dobj	revising
Texas	Texas	dobj	includes
"1.
Larus atricilla Linn"	Linn	dobj	includes
"
Laughing Gull"	Gull	dobj	includes
Corpus Christi Bay	Bay	pobj	about
Nearly a third	third	nsubj	retained
the young autumnal plumage	plumage	dobj	retained
last year	year	pobj	of
Sw	Sw	appos	franklinii
Five or six individuals	individuals	nsubjpass	noted
this exquisite gull	gull	pobj	of
one male	male	nsubjpass	taken
June	June	pobj	of
The female	female	nsubj	escaped
it	it	dobj	accompanied
me	me	dobj	escaped
The presence	presence	nsubj	seems
this species	species	pobj	of
so late a date	date	pobj	at
Mr. Prion r's assertion	assertion	dobj	corroborate
The flycatching habits	habits	nsubj	are
Franklin's Gull	Gull	pobj	of
I	I	nsubj	seen
a pair	pair	nsubj	rise
a sandbar	sandbar	pobj	from
the mainland	mainland	pobj	to
the chaparral	chaparral	dobj	beat
a most systematic manner	manner	pobj	in
hours	hours	pobj	for
a stretch	stretch	pobj	at
gunshot	gunshot	pobj	of
company	company	pobj	in
Henry's Nighthawk	Nighthawk	pobj	with
the superabundant insect food	food	appos	Nighthawk
